augmentation,comparison,keep_s,add_s,delete_s,keep_m,add_m,delete_m,keep_l,add_l,delete_l
test,gt_original,0.388,0.106,0.506,0.763,0.094,0.142,0.826,0.118,0.056
cycleganfog,gt_augmented,0.131,0.041,0.829,0.586,0.124,0.290,0.808,0.110,0.081
cycleganfog,orignal_augmented,0.263,0.051,0.685,0.673,0.098,0.229,0.804,0.083,0.113
cycleganrain,gt_augmented,0.253,0.070,0.677,0.688,0.114,0.197,0.855,0.071,0.073
cycleganrain,orignal_augmented,0.539,0.068,0.393,0.798,0.080,0.122,0.829,0.053,0.118
cyclegansnow,gt_augmented,0.247,0.066,0.687,0.680,0.119,0.201,0.851,0.074,0.075
cyclegansnow,orignal_augmented,0.516,0.071,0.413,0.786,0.087,0.127,0.847,0.046,0.107
cutfog,gt_augmented,0.040,0.031,0.929,0.449,0.134,0.417,0.794,0.098,0.109
cutfog,orignal_augmented,0.078,0.050,0.872,0.502,0.126,0.372,0.769,0.085,0.146
cutrain,gt_augmented,0.092,0.036,0.872,0.518,0.176,0.306,0.796,0.135,0.069
cutrain,orignal_augmented,0.190,0.048,0.762,0.575,0.168,0.257,0.763,0.125,0.112
cutsnow,gt_augmented,0.024,0.023,0.953,0.346,0.091,0.562,0.762,0.104,0.134
cutsnow,orignal_augmented,0.046,0.039,0.914,0.368,0.093,0.539,0.726,0.096,0.178
plugplayfog,gt_augmented,0.035,0.035,0.930,0.272,0.128,0.599,0.628,0.147,0.225
plugplayfog,orignal_augmented,0.073,0.054,0.873,0.298,0.129,0.573,0.635,0.121,0.244
plugplayrain,gt_augmented,0.118,0.105,0.777,0.454,0.192,0.354,0.696,0.181,0.123
plugplayrain,orignal_augmented,0.258,0.145,0.597,0.506,0.182,0.312,0.721,0.142,0.137
plugplaysnow,gt_augmented,0.083,0.099,0.818,0.346,0.201,0.453,0.620,0.164,0.216
plugplaysnow,orignal_augmented,0.178,0.143,0.679,0.380,0.197,0.423,0.624,0.142,0.234
stablediffusionfog,gt_augmented,0.095,0.183,0.722,0.422,0.219,0.358,0.773,0.155,0.072
stablediffusionfog,orignal_augmented,0.163,0.283,0.555,0.459,0.223,0.318,0.793,0.118,0.089
stablediffusionrain,gt_augmented,0.079,0.145,0.776,0.410,0.199,0.390,0.752,0.173,0.075
stablediffusionrain,orignal_augmented,0.140,0.230,0.630,0.440,0.205,0.355,0.770,0.137,0.093
stablediffusionsnow,gt_augmented,0.047,0.139,0.814,0.303,0.226,0.472,0.714,0.169,0.117
stablediffusionsnow,orignal_augmented,0.084,0.223,0.692,0.327,0.230,0.442,0.707,0.148,0.145
cyclediffusionfog,gt_augmented,0.136,0.185,0.680,0.484,0.285,0.231,0.720,0.240,0.040
cyclediffusionfog,orignal_augmented,0.242,0.277,0.481,0.529,0.287,0.184,0.760,0.194,0.045
cyclediffusionrain,gt_augmented,0.173,0.146,0.681,0.532,0.224,0.243,0.753,0.198,0.049
cyclediffusionrain,orignal_augmented,0.332,0.213,0.456,0.603,0.211,0.186,0.799,0.150,0.051
cyclediffusionsnow,gt_augmented,0.109,0.155,0.736,0.431,0.269,0.301,0.693,0.247,0.061
cyclediffusionsnow,orignal_augmented,0.189,0.245,0.566,0.457,0.273,0.270,0.717,0.211,0.073
controlnetfog,gt_augmented,0.143,0.145,0.712,0.515,0.230,0.255,0.776,0.154,0.070
controlnetfog,orignal_augmented,0.254,0.223,0.523,0.566,0.226,0.208,0.754,0.137,0.109
controlnetrain,gt_augmented,0.125,0.185,0.690,0.461,0.258,0.280,0.732,0.194,0.074
controlnetrain,orignal_augmented,0.216,0.282,0.502,0.502,0.258,0.241,0.728,0.172,0.101
controlnetsnow,gt_augmented,0.131,0.154,0.716,0.482,0.249,0.269,0.726,0.197,0.077
controlnetsnow,orignal_augmented,0.235,0.235,0.530,0.530,0.244,0.226,0.709,0.180,0.110
