augmentation,comparison,keep_s,add_s,delete_s,keep_m,add_m,delete_m,keep_l,add_l,delete_l
experiment_001_fog,orignal_augmented,0.042,0.126,0.833,0.396,0.155,0.449,0.764,0.085,0.151
experiment_001_rain,orignal_augmented,0.062,0.355,0.583,0.409,0.224,0.367,0.762,0.107,0.130
experiment_001_snow,orignal_augmented,0.069,0.374,0.557,0.379,0.237,0.384,0.675,0.090,0.235
experiment_002_fog,orignal_augmented,0.242,0.148,0.611,0.584,0.148,0.268,0.753,0.072,0.175
experiment_002_rain,orignal_augmented,0.281,0.220,0.499,0.584,0.169,0.246,0.758,0.069,0.173
experiment_002_snow,orignal_augmented,0.254,0.238,0.508,0.526,0.167,0.308,0.676,0.052,0.272
experiment_003_fog,orignal_augmented,0.331,0.133,0.536,0.677,0.113,0.210,0.763,0.046,0.191
experiment_003_rain,orignal_augmented,0.337,0.219,0.444,0.661,0.143,0.196,0.757,0.058,0.185
experiment_003_snow,orignal_augmented,0.304,0.248,0.447,0.607,0.127,0.266,0.629,0.037,0.334
experiment_004_fog,orignal_augmented,0.115,0.125,0.760,0.483,0.162,0.355,0.710,0.081,0.209
experiment_004_rain,orignal_augmented,0.151,0.272,0.577,0.488,0.214,0.298,0.717,0.098,0.186
experiment_004_snow,orignal_augmented,0.139,0.303,0.558,0.439,0.233,0.328,0.652,0.083,0.265
experiment_005_fog,orignal_augmented,0.180,0.131,0.688,0.458,0.114,0.428,0.717,0.037,0.246
experiment_005_rain,orignal_augmented,0.257,0.323,0.420,0.555,0.205,0.241,0.778,0.053,0.169
experiment_005_snow,orignal_augmented,0.152,0.170,0.678,0.371,0.113,0.516,0.609,0.031,0.359
experiment_006_fog,orignal_augmented,0.002,0.015,0.983,0.022,0.045,0.933,0.089,0.027,0.884
experiment_006_rain,orignal_augmented,0.013,0.503,0.484,0.048,0.465,0.487,0.201,0.147,0.652
experiment_006_snow,orignal_augmented,0.003,0.246,0.751,0.005,0.115,0.879,0.019,0.005,0.976
experiment_007_fog,orignal_augmented,0.220,0.154,0.626,0.522,0.142,0.336,0.779,0.046,0.175
experiment_007_rain,orignal_augmented,0.224,0.295,0.481,0.536,0.215,0.249,0.794,0.054,0.152
experiment_007_snow,orignal_augmented,0.180,0.290,0.530,0.464,0.202,0.334,0.754,0.063,0.183
experiment_008_fog,orignal_augmented,0.092,0.076,0.833,0.314,0.091,0.595,0.424,0.028,0.548
experiment_008_rain,orignal_augmented,0.220,0.292,0.489,0.511,0.286,0.203,0.709,0.082,0.209
experiment_008_snow,orignal_augmented,0.128,0.263,0.609,0.284,0.177,0.539,0.306,0.029,0.665
experiment_009_fog,orignal_augmented,0.031,0.047,0.922,0.222,0.127,0.651,0.411,0.048,0.542
experiment_009_rain,orignal_augmented,0.055,0.081,0.864,0.278,0.183,0.539,0.513,0.067,0.421
experiment_009_snow,orignal_augmented,0.034,0.087,0.879,0.178,0.117,0.705,0.360,0.042,0.598
experiment_010_fog,orignal_augmented,0.136,0.192,0.673,0.428,0.218,0.354,0.575,0.104,0.321
experiment_010_rain,orignal_augmented,0.184,0.346,0.470,0.443,0.319,0.238,0.668,0.143,0.188
experiment_010_snow,orignal_augmented,0.175,0.383,0.442,0.422,0.305,0.273,0.562,0.139,0.299
experiment_011_fog,orignal_augmented,0.343,0.144,0.513,0.653,0.123,0.224,0.744,0.068,0.188
experiment_011_rain,orignal_augmented,0.381,0.246,0.373,0.649,0.168,0.182,0.771,0.075,0.154
experiment_011_snow,orignal_augmented,0.394,0.296,0.310,0.643,0.187,0.170,0.743,0.081,0.177
experiment_012_fog,orignal_augmented,0.302,0.202,0.496,0.612,0.176,0.212,0.737,0.064,0.199
experiment_012_rain,orignal_augmented,0.316,0.297,0.387,0.599,0.214,0.187,0.765,0.072,0.162
experiment_012_snow,orignal_augmented,0.311,0.356,0.332,0.581,0.241,0.179,0.700,0.092,0.208
experiment_013_fog,orignal_augmented,0.158,0.180,0.662,0.497,0.125,0.378,0.773,0.040,0.187
experiment_013_rain,orignal_augmented,0.188,0.257,0.556,0.505,0.166,0.330,0.788,0.046,0.166
experiment_013_snow,orignal_augmented,0.168,0.224,0.608,0.444,0.143,0.414,0.726,0.045,0.228
experiment_014_fog,orignal_augmented,0.003,0.053,0.944,0.070,0.159,0.771,0.210,0.088,0.703
experiment_014_rain,orignal_augmented,0.016,0.394,0.590,0.090,0.411,0.499,0.273,0.169,0.557
experiment_014_snow,orignal_augmented,0.016,0.514,0.470,0.060,0.400,0.540,0.164,0.105,0.731
experiment_015_fog,orignal_augmented,0.266,0.154,0.580,0.612,0.136,0.252,0.795,0.044,0.161
experiment_015_rain,orignal_augmented,0.257,0.168,0.576,0.605,0.150,0.245,0.808,0.046,0.146
experiment_015_snow,orignal_augmented,0.256,0.173,0.571,0.588,0.128,0.284,0.789,0.044,0.167
experiment_016_fog,orignal_augmented,0.040,0.125,0.835,0.385,0.155,0.459,0.763,0.092,0.146
experiment_016_rain,orignal_augmented,0.058,0.359,0.583,0.402,0.229,0.369,0.762,0.108,0.130
experiment_016_snow,orignal_augmented,0.065,0.365,0.570,0.368,0.232,0.400,0.676,0.086,0.238
experiment_017_fog,orignal_augmented,0.199,0.150,0.651,0.518,0.174,0.308,0.714,0.084,0.202
experiment_017_rain,orignal_augmented,0.235,0.233,0.532,0.530,0.211,0.259,0.736,0.086,0.177
experiment_017_snow,orignal_augmented,0.208,0.232,0.560,0.472,0.188,0.340,0.636,0.059,0.306
