augmentation,bbox/AP,bbox/AP50,bbox/AP75,bbox/APl,bbox/APm,bbox/APs,dataset
1-0,49.90500008688735,77.10776208053863,53.28407807005375,74.63619525900745,52.34022835141996,20.434595159587214,adverse_fog
1-0,46.27597948729943,79.38153680377576,47.64675706698967,74.79321677960874,53.10874730308952,20.133560301554677,adverse_rain
1-0,50.27553681887284,77.59591058961722,52.06443855624545,75.22398827124867,43.83863919854936,17.182041088605132,adverse_snow
1-0,45.04547419412954,72.81092580420356,44.73848528954592,63.28110997446503,41.86262605632159,22.798462019216117,dense_clear_day
1-0,55.015697432107224,77.02710916164753,60.222144463584456,75.59777754079849,55.62825586601563,26.668312442044417,dense_light_fog_day
1-0,44.724815116820075,73.30871259880143,46.089094378716126,61.79727599399044,38.105631897667216,16.268292321310472,dense_light_fog_night
1-0,60.18293699545918,79.90013738951428,66.35847304213758,79.54389499004719,55.60545540305728,14.908466627704362,dense_fog_day
1-0,48.28173531499915,71.88397972643672,52.92408248419742,59.4547969037236,48.793750679993074,17.109434183815107,dense_fog_night
1-0,36.879942069188665,67.2403054610848,33.33830812363155,47.06218758083154,34.33262407709011,14.037297472039931,dense_rain
1-0,43.48590281580839,69.03345123638972,44.1629795974965,58.68487185817147,40.28247190682455,26.582460420197574,dense_snow_day
1-0,42.8536514352743,69.14931599334449,43.72958884339425,64.80177235184851,36.55229607832296,16.33957002063296,dense_snow_night
1-0,52.300624684774824,81.8523666160778,54.61112679025365,69.68065520201262,47.663581688127344,27.91128375562074,dawn_fog
1-0,56.6944317787187,84.61497125048034,61.89262756587428,73.10417780562133,54.38442589244843,32.124909517571645,dawn_sand
1-0,52.23796431904062,81.84938424632755,55.661309928399994,67.32683457665462,45.74131715466354,14.72292577076837,dawn_rain
1-0,51.48702581151504,80.71632928828542,53.72455361303498,66.67784214099292,39.62472798513085,14.368219905284366,dawn_snow
1-0,25.98201310120701,57.205295680745294,20.679080983404926,38.331005406116816,23.874942395659914,13.030762215075198,nuscenes_clear
1-0,22.01368110204051,51.25001421372992,14.97893860171369,30.53738336418818,21.906904962956304,8.365639963770965,nuscenes_rain
1-0,43.77190928669445,75.26876332964584,43.35547422147978,77.97063207081369,55.18126092702743,20.22174502715658,bdd_clear
1-0,44.34381157270826,76.94682334459657,44.80618858021298,72.0838071361925,51.55418708879037,19.48233214528611,bdd_rain
1-0,44.718015235716635,75.58414742905535,46.06349288774364,75.91834835246406,49.97120100754359,18.448925678444816,bdd_snow
1-0,46.409167433143935,71.39773445817417,49.58349526118703,80.42320296875917,53.17160060684989,16.755114163798957,cityscapes_clear
